slug	ranking	every	dead	name	feed_url	url
learning-machines-101	2	0		Learning Machines 101	http://learningmachines101.libsyn.com/rss
composer-quest		0		Composer Quest	http://charliemccarron.com/composerquest.xml
art-of-composing		0		The Art of Composing Podcast	https://www.artofcomposing.com/feed/podcast
damn-interesting		0		Damn Interesting	http://feeds.feedburner.com/damn-interesting-podcast
note-to-self		0		Note to Self	http://feeds.wnyc.org/notetoself-podcast
reactive		0		Reactive	https://rss.simplecast.com/podcasts/1232/rss
blerg		0		The Blerg	http://theblerg.net/podcast/rss
media-and-politics		0		Media and Politics Podcast	http://shorensteincenter.libsyn.com/rss
mashtalk		0		MashTalk	http://www.omnycontent.com/d/playlist/a80f1425-6a94-4d1f-b942-a59b00e48888/39202259-36c7-48f2-bba4-a59b00e4ecc2/45d4cecb-8bea-4736-880c-a59b00e4ecc7/podcast.rss
engineers-&-coffee		0		Engineers & Coffee	http://engineers.coffee/rss.xml
accidental-creative		0		The Accidental Creative	http://feeds.feedburner.com/accidentalcreative/podcast
under-the-radar		0		Under the Radar	https://www.relay.fm/radar/feed
restless-device		0		Restless Device	http://www.restlessdevice.com/feed/podcast/
groovy	2	0		Groovy Podcast	http://groovypodcast.podbean.com/feed/
solrcluster		0		SolrCluster	http://solrcluster.podbean.com/feed/
bad-voltage		0		Bad Voltage	http://www.badvoltage.org/feed/mp3/
gitminutes	4	0	1	GitMinutes	http://feeds.gitminutes.com/gitminutes-podcast
how-to-program-with-java	3	0	1	How to Program with Java	http://feeds.feedburner.com/howtoprogramwithjava
from-python-import-podcast	3	0	1	From Python Import Podcast	http://feeds.feedburner.com/FromPythonImportPodcast
design-guy	3	0	1	Design Guy	http://feeds.feedburner.com/blogspot/designguyshow
less-than-or-equal	2	0	1	Less Than or Equal	https://www.lessthanorequal.com/episodes/?format=rss
request-for-commits	3	0	1	Request For Commits	https://changelog.com/rfc/feed
scalawags	4	0		The Scalawags	http://thescalawags.libsyn.com/rss
